season,team,GP,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCSF,SCSA,SCSF%,SCGF,SCGA,SCGF%,SCSH%,SCSV%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO,made_playoffs,round_reached
2022:2023,Vancouver Canucks,82,4991.7833,4514,4656,49.23,3387,3517,49.06,2438,2527,49.1,245.67,258.32,48.75,2390,2440,49.48,1412,1438,49.54,223,237,48.48,15.79,83.52,1020,1045,49.39,737,745,49.73,152,155,49.51,20.62,79.19,1370,1395,49.55,675,693,49.34,71,82,46.41,10.52,88.17,1876,1940,49.16,910,940,49.19,40,50,44.44,4.4,94.68,11.07,88.29,0.994,0,0
2022:2023,San Jose Sharks,82,4984.7333,4607,5012,47.89,3384,3704,47.74,2418,2640,47.81,255.86,275.97,48.11,2496,2644,48.56,1435,1523,48.51,188,272,40.87,13.1,82.14,1070,1059,50.26,731,741,49.66,117,151,43.66,16.01,79.62,1426,1585,47.36,704,782,47.38,71,121,36.98,10.09,84.53,2479,2745,47.45,863,990,46.57,39,38,50.65,4.52,96.16,9.64,88.07,0.977,0,0
2022:2023,Seattle Kraken,82,4965.65,4747,4353,52.16,3559,3226,52.45,2498,2217,52.98,246.33,228.59,51.87,2263,2184,50.89,1311,1193,52.36,236,213,52.56,18.0,82.15,897,942,48.78,623,626,49.88,130,139,48.33,20.87,77.8,1366,1242,52.38,688,567,54.82,106,74,58.89,15.41,86.95,2149,1917,52.85,1051,888,54.2,45,33,57.69,4.28,96.28,11.57,88.63,1.002,1,2
2022:2023,St Louis Blues,82,4969.4667,4196,4894,46.16,3200,3721,46.24,2341,2653,46.88,220.43,278.1,44.22,2258,2602,46.46,1351,1544,46.67,219,242,47.51,16.21,84.33,843,1074,43.97,620,765,44.77,118,166,41.55,19.03,78.3,1415,1528,48.08,731,779,48.41,101,76,57.06,13.82,90.24,1718,2031,45.83,855,985,46.47,37,47,44.05,4.33,95.23,11.11,88.77,0.999,0,0
2022:2023,Tampa Bay Lightning,82,4966.0667,4914,4656,51.35,3700,3508,51.33,2621,2582,50.37,273.99,259.93,51.32,2650,2471,51.75,1518,1450,51.15,222,205,51.99,14.62,85.86,1107,1020,52.05,772,749,50.76,149,126,54.18,19.3,83.18,1543,1451,51.54,746,701,51.55,73,79,48.03,9.79,88.73,2711,2507,51.95,994,1024,49.26,51,44,53.68,5.13,95.7,10.68,90.24,1.009,1,1
2022:2023,Toronto Maple Leafs,82,4964.8833,4767,4615,50.81,3639,3401,51.69,2629,2420,52.07,281.64,239.22,54.07,2763,2344,54.1,1611,1309,55.17,241,179,57.38,14.96,86.33,1225,991,55.28,884,679,56.56,158,99,61.48,17.87,85.42,1538,1353,53.2,727,630,53.57,83,80,50.92,11.42,87.3,1804,2021,47.16,914,978,48.31,33,36,47.83,3.61,96.32,10.57,90.91,1.015,1,2
2022:2023,Montreal Canadiens,82,4973.6167,4213,5207,44.72,3063,3797,44.65,2237,2753,44.83,215.11,299.69,41.79,2063,2763,42.75,1165,1607,42.03,181,265,40.58,15.54,83.51,846,1202,41.31,581,846,40.71,106,185,36.43,18.24,78.13,1217,1561,43.81,584,761,43.42,75,80,48.39,12.84,89.49,1853,2162,46.15,938,1020,47.91,41,32,56.16,4.37,96.86,10.15,88.92,0.991,0,0
2022:2023,Pittsburgh Penguins,82,4966.2167,5206,4858,51.73,3892,3636,51.7,2818,2687,51.19,297.79,262.64,53.14,2735,2450,52.75,1581,1484,51.58,214,214,50.0,13.54,85.58,1253,1066,54.03,878,777,53.05,156,144,52.0,17.77,81.47,1482,1384,51.71,703,707,49.86,58,70,45.31,8.25,90.1,2148,2115,50.39,1058,1052,50.14,43,44,49.43,4.06,95.82,9.26,90.21,0.995,0,0
2022:2023,Minnesota Wild,82,5018.4667,4794,4819,49.87,3607,3501,50.75,2535,2552,49.83,256.52,237.36,51.94,2345,2295,50.54,1357,1372,49.73,193,176,52.3,14.22,87.17,1004,918,52.24,716,670,51.66,138,113,54.98,19.27,83.13,1341,1377,49.34,641,702,47.73,55,63,46.61,8.58,91.03,2115,2256,48.39,1016,1058,48.99,40,38,51.28,3.94,96.41,9.43,91.42,1.008,1,1
2022:2023,Washington Capitals,82,4977.2833,4861,4886,49.87,3579,3612,49.77,2549,2549,50.0,253.93,268.9,48.57,2428,2420,50.08,1406,1396,50.18,214,205,51.07,15.22,85.32,1014,1030,49.61,719,708,50.39,134,143,48.38,18.64,79.8,1414,1390,50.43,687,688,49.96,80,62,56.34,11.64,90.99,2093,2156,49.26,983,1016,49.17,32,49,39.51,3.26,95.18,9.93,89.76,0.997,0,0
